Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
SAFE_MM100,0.99,16,100000,360,72236,27764,1933.7106734522563,14943.465599994724,9.754926545540558,4358.738270833328,-10707.708407277776,13000.0,0.0,0.0,0.0,5.3641118716775145,57.69364327085615,0
SAFE_MM100,0.99,17,100000,360,71994,28006,1938.2211523716064,14947.910624633829,9.689472256169577,4341.539803921576,-10542.368239996507,13000.0,0.0,0.0,0.0,5.082201797276024,57.28944003915934,0
SAFE_MM100,0.99,18,100000,360,71917,28083,1932.2631787556952,14941.568127350609,9.304948596766526,4337.550555555554,-9749.61111111111,13000.0,0.0,0.0,0.0,4.900660433985401,56.68177633337776,0
SAFE_MM100,0.99,19,100000,360,71883,28117,1926.4489719368737,14935.74486600198,9.29589407067844,4335.893385964926,-10254.301999999989,13000.0,0.01585,0.1902,0.0,4.63601686806092,55.4424798421378,0
SAFE_MM100,0.98,1,100000,360,73115,26885,1915.8049027388486,15041.980819333132,126.17591659439748,4290.472332409987,-9814.169046637044,13000.0,0.0,0.0,0.0,40.63627241452366,46.85524733337513,0
SAFE_MM100,0.98,2,100000,360,72214,27786,1923.2552639086418,15036.03281200628,112.77754809016311,4324.298600685812,-9826.40000000001,13000.0,0.0,0.0,0.0,37.53646590540265,56.78998400004458,0
SAFE_MM100,0.98,3,100000,360,72608,27392,1962.208510772709,15070.081831333635,107.8733205585595,4343.57189682679,-9894.07804666667,13000.0,0.0,0.0,0.0,36.01380128156055,60.565664444413855,0
SAFE_MM100,0.98,4,100000,360,72385,27615,1957.0172792774883,15067.01794666668,110.00066738808971,4347.362929318417,-9517.898534422226,13000.0,0.0,0.0,0.0,35.28894193700929,59.29117216672132,0
SAFE_MM100,0.98,5,100000,360,72429,27571,1952.9195159595224,15050.378004533479,97.45848857271905,4339.778669458217,-9833.302379970373,13000.0,0.0,0.0,0.0,34.05526694361804,60.809751466614294,0
SAFE_MM100,0.98,6,100000,360,72368,27632,1949.9185360339861,15031.330646011855,81.4121099681128,4340.506020569195,-9735.466666666658,13000.0,0.0,0.0,0.0,31.989361362881368,62.13344999999803,0
SAFE_MM100,0.98,7,100000,360,72382,27618,1958.1120652748782,15029.71218601662,71.60012072589991,4344.070587506234,-10207.239428571425,13000.0,0.0,0.0,0.0,28.862105953332467,61.436080761941106,0
SAFE_MM100,0.98,8,100000,360,72633,27367,1961.5472694848677,15022.404734508425,60.8574650174904,4349.085716807211,-9891.653333333332,13000.0,0.0,0.0,0.0,26.515160607335723,62.290886583322354,0
SAFE_MM100,0.98,9,100000,360,72343,27657,1943.4344625822032,14997.14431399081,53.70985141909817,4349.458712752246,-9766.291555555548,13000.0,0.0,0.0,0.0,24.558692002475727,62.91480622227241,0
SAFE_MM100,0.98,10,100000,360,72714,27286,1948.4678915750821,14997.360211563571,48.892319983114135,4335.835338119385,-9788.626074114643,13000.0,0.0,0.0,0.0,22.672129557066953,62.42883880006509,0
SAFE_MM100,0.98,11,100000,360,72278,27722,1924.3008747253878,14968.829466064026,44.528591353490015,4341.138271683765,-10453.35551515152,13000.0,0.0,0.0,0.0,21.300789595231727,62.69478721207561,0
SAFE_MM100,0.98,12,100000,360,72655,27345,1944.0929797532729,14983.890060060357,39.79708030086501,4339.199922931555,-9501.780284444438,13000.0,0.0,0.0,0.0,19.704106088841655,63.15689944443207,0
SAFE_MM100,0.98,13,100000,360,72272,27728,1905.0894848928142,14941.797272169359,36.707787260289884,4280.488719054607,-9886.517585859485,13000.0,0.97726,10.74986,0.0,17.89830621637735,62.48422307685445,0
SAFE_MM100,0.98,14,100000,360,72401,27599,1908.9989419762487,14943.325590618793,34.32664862994839,4289.669916411465,-10044.623809523811,13000.0,0.0,0.0,0.0,16.929901562222984,63.039203380940315,0
