Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
GXU,0.99,6,100000,360,44808,55192,1925.9305084599766,14999.672461525743,73.74195306584205,39776.69444444443,-11943.934259259258,13000.0,13.9171,83.5026,0.0,194.32935027038062,23.908541861111225,0
GXU,0.99,7,100000,360,44722,55278,1948.8044125202844,15017.575261336791,68.77084881619851,39810.66666666666,-11945.333333333336,13000.0,13.86724,97.07068,0.0,182.98760826470263,24.222740346938554,0
GXU,0.99,8,100000,360,44333,55667,1876.9782732916806,14940.390085264236,63.411811972399114,39796.22916666667,-11891.679166666654,13000.0,14.41082,115.28656,0.0,169.55959248228862,24.213537786458073,0
GXU,0.99,9,100000,360,44753,55247,1906.134420777915,14966.357437282679,60.22301650396568,39797.55555555555,-11854.69300411524,13000.0,13.87227,124.85043,0.0,160.94603460653204,24.397703827160147,0
GXU,0.99,10,100000,360,44692,55308,1921.2509669525402,14978.894961542732,57.64399459105413,40297.60000000003,-11948.916069444422,13000.0,13.63982,136.3982,0.0,153.29899743451767,24.705508436665717,0
GXU,0.99,11,100000,360,44445,55555,1836.8252940394636,14889.895256412521,53.06996237309095,39782.21212121212,-11956.439393939398,13000.0,13.91849,153.10339,0.0,141.17232123449338,24.37899065840187,0
GXU,0.99,12,100000,360,44605,55395,1918.25350405957,14968.928486310835,50.67498225090829,40538.99777777778,-11966.487743055539,13000.0,5.43321,65.19852,0.0,137.02024836132244,25.22842704166637,0
GXU,0.99,13,100000,360,44746,55254,1936.7373933301496,14984.714946960765,47.9775536308791,39817.20512820513,-11962.585783475784,13000.0,13.28284,172.67692,0.0,125.48577657114102,24.61672294082813,0
GXU,0.99,14,100000,360,44247,55753,1811.5949612521085,14857.807311502103,46.212350249754934,39800.34523809524,-11957.485367063493,13000.0,13.87831,194.29634,0.0,119.61621054476007,24.54434410544207,0
GXU,0.99,15,100000,360,44572,55428,1930.5913644277027,14975.143238025741,44.551873597965596,39817.64444444445,-11951.798271604901,13000.0,13.85943,207.89145,0.0,114.12823011652993,24.60129424444614,0
GXU,0.99,16,100000,360,44520,55480,1893.2788028159544,14936.055413145332,42.77661032926766,39784.89583333333,-11949.187500000004,13000.0,14.35849,229.73584,0.0,109.2743552317789,24.557528144530988,0
GXU,0.99,17,100000,360,44605,55395,1939.2563187751343,14980.998408589094,41.74208981423067,40986.51069333583,-11945.214166666658,13000.0,3.81974,63.33476,0.0,111.54441671822228,26.842682479815736,0
GXU,0.99,18,100000,360,44504,55496,1901.935195702344,14942.79889417594,40.86369847395272,40318.89814814813,-11977.996759259358,13000.0,12.35781,222.44058,0.0,104.9864504126681,25.11358051543247,0
GXU,0.99,19,100000,360,44830,55170,1936.1976356720597,14976.182117940914,39.984482268871666,40736.23912280703,-11958.073857212476,13000.0,5.46707,100.99907,0.0,101.89741065950187,26.888714138504294,0
GXU,0.98,1,100000,360,46724,53276,2135.4571046309843,15451.2456133334,315.7885087024036,40710.277083505476,-11878.333333333332,13000.0,0.30069,0.30069,0.0,764.0780097900052,8.880583333333325,0
GXU,0.98,2,100000,360,46917,53083,2251.9309728405533,15548.475080000064,296.544107159461,40710.30566692163,-11968.666666666664,13000.0,0.29969,0.59938,0.0,712.4327456299062,14.4879766666666,0
GXU,0.98,3,100000,360,46543,53457,2205.690098910989,15481.64377222223,275.95367331127005,40867.60208759559,-11846.999999999998,13000.0,0.0,0.0,0.0,677.6889079564874,17.993511111112937,0
GXU,0.98,4,100000,360,46534,53466,2150.577405289313,15401.135191166562,250.5577858773651,40992.807551454636,-11974.499999999996,13000.0,0.30097,1.20388,0.0,637.3532323383067,20.336501666666738,0
GXU,0.98,5,100000,360,46621,53379,2205.315720819105,15433.467682613578,228.1519617942331,41080.73333333332,-11872.66666666666,13000.0,0.29837,1.49185,0.0,597.744301925392,22.196197333333235,0
GXU,0.98,6,100000,360,46174,53826,2160.702811090649,15369.168565666938,208.46575457606122,40983.83333333334,-11959.0,13000.0,0.0,0.0,0.0,559.4361476760645,23.43099999999976,0
GXU,0.98,7,100000,360,46227,53773,2170.940381057064,15363.5049113063,192.56453024908296,41026.42857142858,-11991.666666666662,13000.0,0.0,0.0,0.0,527.7035339463565,24.513907142856876,0
GXU,0.98,8,100000,360,46026,53974,2161.7459829687295,15340.614079187317,178.86809621880312,41001.45833333333,-11960.333333333332,13000.0,0.30467,2.43736,0.0,492.08550265956,25.085603333333488,0
GXU,0.98,9,100000,360,45767,54233,2087.0810126635843,15255.0145973016,167.9335846379567,40979.000000000015,-11962.851851851849,13000.0,0.56046,5.04414,0.0,462.4714642617549,25.27364046913527,0
