Name,Own rate,Bonus pieces,Total runs,Cycles,Positive outcomes,Negative outcomes,Average profit,Average balance,Average bonus balance,Best outcome,Worst outcome,Average invested,Average withdraw failures,Average bonus cancellations,Average bonus cancellation failures,Average bonuses lost,Average bonuses completed,Errors
MAX,0.99,13,100000,360,60819,39181,2002.5267492394528,15010.301625442808,7.774876211079736,7660.0754440705205,-10797.130132852562,13000.0,1.24914,11.7638,0.0,4.529541011892608,89.34136758724576,0
MAX,0.99,14,100000,360,60772,39228,2000.9466985496927,15008.548502479587,7.601803931207098,7663.611584538692,-10903.554486889872,13000.0,1.05254,10.57683,0.0,4.269347095885998,88.07908171424506,0
MAX,0.99,15,100000,360,60570,39430,2007.0203242640441,15014.529590487444,7.509266225984328,7646.68822913889,-10961.015104194445,13000.0,2.11447,25.36188,0.0,4.09721242456243,87.12728848548485,0
MAX,0.99,16,100000,360,60560,39440,1997.110331264049,15004.54139961202,7.4310683481172495,7665.628125000003,-10955.133578124995,13000.0,0.26201,3.20359,0.0,3.982549324309522,86.41707131637249,0
MAX,0.99,17,100000,360,60874,39126,2016.1706569053351,15023.442967497602,7.27231059590937,7660.917270245111,-11557.391985810264,13000.0,1.14791,13.08667,0.0,3.8637432627539297,85.41505667468503,0
MAX,0.99,18,100000,360,60729,39271,2004.9925225420923,15012.20591436619,7.213391831852634,7655.040278043976,-10836.791666400457,13000.0,1.11921,13.56794,0.0,3.7507319064582547,84.44911059565624,0
MAX,0.99,19,100000,360,60651,39349,2011.6732248348317,15018.735208028807,7.061983186419986,7640.327701754388,-11007.689758771929,13000.0,2.08241,30.93535,0.0,3.649910438871891,83.38688777429951,0
MAX,0.98,1,100000,360,61402,38598,2107.0960398578604,15145.511616877284,38.41557701362468,7764.750000000015,-10879.355250000002,13000.0,0.4601,0.4601,0.0,32.88967739151443,151.62996949999302,0
MAX,0.98,2,100000,360,61428,38572,2104.54288783254,15138.411584588242,33.868696758791835,7772.200000000012,-10759.50075,13000.0,0.46088,0.92176,0.0,29.012362870935934,158.0642632499175,0
MAX,0.98,3,100000,360,61674,38326,2129.816019670593,15161.386591224898,31.570571557131057,7777.200000000004,-10577.775222222223,13000.0,0.18127,0.53522,0.0,27.43741088009665,161.27778316657134,0
MAX,0.98,4,100000,360,61369,38631,2103.5552213334804,15134.436441322963,30.881219992373357,7774.700000000004,-10954.252999999997,13000.0,0.50081,1.97935,0.0,26.959215559625886,162.06122474989596,0
MAX,0.98,5,100000,360,61444,38556,2110.035102998911,15138.974528837214,28.93942583595771,7761.111966666664,-10796.138033333333,13000.0,1.14901,5.73579,0.0,26.76592525816203,162.29649036009494,0
MAX,0.98,6,100000,360,61570,38430,2122.000567913898,15148.981858443709,26.981290525133456,7779.750000000007,-10698.932597222225,13000.0,0.15088,0.83012,0.0,24.978207383044904,162.59328188889532,0
MAX,0.98,7,100000,360,61159,38841,2082.4113434468595,15107.880085105848,25.468741653537048,7764.976476190488,-11345.332535714288,13000.0,1.13538,7.85751,0.0,24.106030645464497,159.47653943871123,0
MAX,0.98,8,100000,360,61253,38747,2128.0432844942566,15152.250196976785,24.206912481947928,7772.537499999995,-10908.552833333335,13000.0,0.46581,3.66776,0.0,21.792860395300334,157.92247356241793,0
MAX,0.98,9,100000,360,61141,38859,2083.433129947468,15106.508697858062,23.07556791658341,7757.028000000002,-10856.47755555556,13000.0,1.16916,9.42253,0.0,20.41079560895711,155.70878170364833,0
MAX,0.98,10,100000,360,61167,38833,2097.1990443387963,15119.551570247228,22.3525259200184,7760.535,-10527.71427225,13000.0,0.33615,3.16648,0.0,18.775202312193155,153.95926679004194,0
MAX,0.98,11,100000,360,61260,38740,2105.35548895573,15126.992326406462,21.636837445552192,7758.745454545457,-10761.010904545456,13000.0,0.25836,2.64472,0.0,17.467319983456797,152.06696200833426,0
MAX,0.98,12,100000,360,61047,38953,2084.8861251030935,15105.88155742084,20.99543232171306,7748.241666666665,-10789.998738692706,13000.0,0.1461,1.65059,0.0,16.311906468044576,149.5169222361478,0
MAX,0.98,13,100000,360,60738,39262,2038.7873499876832,15059.463004622214,20.675654626788116,7713.452860641031,-10857.38905397436,13000.0,1.11197,12.40002,0.0,15.167317454622339,145.2801972218036,0
MAX,0.98,14,100000,360,60679,39321,2050.0918409561773,15070.242992617474,20.151151653545874,7746.049999999981,-10797.020107142866,13000.0,0.1286,1.65713,0.0,14.375834652879412,145.17701764291724,0
MAX,0.98,15,100000,360,60814,39186,2065.3651994227653,15085.098388846516,19.733189431745437,7744.206666666665,-10921.276666666668,13000.0,0.15934,2.15884,0.0,13.515911437148885,143.36665592451055,0
MAX,0.98,16,100000,360,60720,39280,2035.1931414513176,15054.674447205065,19.481305744911108,7704.527333333332,-10812.269541666665,13000.0,3.4119,53.48922,0.0,12.96726458933375,137.931860421803,0
